CR,Size_Rank,is_swarm,Type_aberration,Type_beast,Type_construct,Type_dragon,Type_elemental,Type_fiend,Type_giant,Type_humanoid,Type_monstrosity,Type_other,Type_undead,Is_Legendary,Is_Spellcaster,Log_Avg_HP,AC_Z,Strength_Z,Dexterity_Z,Constitution_Z,Intelligence_Z,Wisdom_Z,Charisma_Z,Max_Speed_Z,Trait_Count_MM,Action_Count_MM,Movement_Count_MM
8.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.543294782270004,0.44326267263202285,-0.020126088386700547,1.3706616154321591,-0.7928290910980036,0.4061164676882534,-1.3519686365580492,1.2994384608064413,-0.4342075901391517,0.125,0.375,0.0
8.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.543294782270004,0.44326267263202285,-0.020126088386700547,1.3706616154321591,-0.7928290910980036,0.4061164676882534,-1.3519686365580492,1.2994384608064413,-0.4342075901391517,0.125,0.5,0.0
9.0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.919980925828125,0.44326267263202285,0.8126932704204378,1.3706616154321591,0.16282419673015255,0.7583986680211038,0.33793441231580823,0.7680216884694849,1.117402339586361,0.25,0.25,0.3333333333333333
22.0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.823045895483019,2.46712977039105,1.9786403727504314,0.17267339746409557,2.3130440943435038,1.63910416885323,0.901235428607094,0.7680216884694849,-0.4342075901391517,0.125,0.375,0.0
9.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.442651256490317,-0.9059820592073284,-1.0195093189552666,0.17267339746409557,-0.3150024471839255,1.2868219685203794,-0.22536660397547761,-0.11767293209210913,-0.4342075901391517,0.125,0.0,0.0
9.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.653960350157523,-0.9059820592073284,-1.0195093189552666,0.17267339746409557,-0.3150024471839255,1.2868219685203794,-0.22536660397547761,-0.11767293209210913,-0.4342075901391517,0.0,0.375,0.0
10.0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.017279836814924,0.7805738555918607,0.9792571421818654,-1.3248118749959839,-0.07608912522688649,1.2868219685203794,0.6195849204614512,1.1222995366941224,0.08299571976935255,0.5,0.375,0.3333333333333333
5.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.543294782270004,-0.23135969328765282,0.6461293986590101,-0.7258177660119521,0.6406508406442306,-0.650730133310298,-0.22536660397547761,-0.47195078031674675,-0.4342075901391517,0.25,0.375,0.3333333333333333
9.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.927253685157205,0.10595148967218501,1.4789487574661484,-1.025314820503968,1.596304128472387,-0.29844793297744754,0.05628390417016531,-0.47195078031674675,0.08299571976935255,0.0,0.5,0.3333333333333333
0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3978952727983707,-0.5686708762474907,-1.5192009342395496,0.17267339746409557,-0.5539157691409645,-1.1791534338095737,-1.0703181284124064,-1.180506476766022,-0.4342075901391517,0.0,0.25,0.3333333333333333
0.25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9444389791664403,-1.2432932421671663,-1.0195093189552666,-0.4263207115199362,-1.0317424130550426,-1.0030123336431485,-1.3519686365580492,-1.180506476766022,-0.9514109000476559,0.0,0.0,0.0
23.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5.655991810819852,2.129818587431212,-0.3532538319095559,0.7716675064481274,1.1184774845583088,2.8720918700182065,2.3094879693353088,1.4765773849187602,-0.4342075901391517,0.5,0.25,0.0
5.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.51085950651685,0.10595148967218501,0.4795655268975825,0.17267339746409557,-0.3150024471839255,-0.12230683281102232,-0.22536660397547761,0.4137438402448473,0.6001990296778568,0.0,0.25,0.0
5.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.51085950651685,0.10595148967218501,-0.18668996014812822,1.969655724416191,-0.3150024471839255,-0.8268712334767233,-0.7886676202667634,-1.0033675526537031,2.669012269311874,0.0,0.25,0.3333333333333333
0.25,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.302585092994046,-1.5806044251270042,-0.8529454471938389,-1.025314820503968,-1.2706557350120817,-0.12230683281102232,0.33793441231580823,-0.11767293209210913,-0.4342075901391517,0.0,0.0,0.0
16.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.438079308923196,1.4551962215115364,1.6455126292275761,0.17267339746409557,2.3130440943435038,1.63910416885323,1.182885936752737,1.653716309031079,2.1518089594033696,0.125,0.5,0.6666666666666667
17.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.54907608489522,1.4551962215115364,1.9786403727504314,-1.025314820503968,2.3130440943435038,-0.4745890331438728,0.05628390417016531,1.653716309031079,2.1518089594033696,0.0,0.625,0.6666666666666667
14.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.278114659230517,1.4551962215115364,1.312384885704721,0.17267339746409557,1.3573908065153477,0.5822575678546786,0.05628390417016531,1.2994384608064413,2.1518089594033696,0.125,0.375,0.6666666666666667
17.0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.420534999272286,1.4551962215115364,1.6455126292275761,-1.025314820503968,1.8352174504294259,0.934539768187529,0.6195849204614512,1.2994384608064413,2.1518089594033696,0.125,0.625,0.6666666666666667
16.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.3612921657094255,1.4551962215115364,1.6455126292275761,-1.025314820503968,1.8352174504294259,0.934539768187529,0.6195849204614512,1.4765773849187602,2.1518089594033696,0.0,0.375,0.6666666666666667
13.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.153291594497779,1.1178850385516985,1.312384885704721,-1.025314820503968,1.3573908065153477,0.5822575678546786,0.05628390417016531,0.9451606125818037,2.1518089594033696,0.0,0.5,0.6666666666666667
15.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.3612921657094255,1.1178850385516985,1.6455126292275761,-1.025314820503968,1.8352174504294259,0.934539768187529,0.6195849204614512,1.4765773849187602,2.1518089594033696,0.125,0.5,0.6666666666666667
14.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.220355825078324,1.1178850385516985,1.312384885704721,-0.4263207115199362,1.3573908065153477,1.2868219685203794,0.6195849204614512,1.1222995366941224,2.1518089594033696,0.0,0.5,0.6666666666666667
12.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.153291594497779,0.44326267263202285,0.9792571421818654,-0.4263207115199362,1.3573908065153477,1.2868219685203794,0.6195849204614512,1.2994384608064413,2.1518089594033696,0.0,0.5,1.0
11.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.997212273764115,0.7805738555918607,0.8126932704204378,0.17267339746409557,0.6406508406442306,0.934539768187529,0.901235428607094,1.1222995366941224,2.1518089594033696,0.0,0.625,1.0
14.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.337538079701318,1.1178850385516985,1.312384885704721,-0.4263207115199362,1.3573908065153477,1.2868219685203794,0.901235428607094,1.1222995366941224,2.1518089594033696,0.25,0.5,0.6666666666666667
17.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.497168225293202,1.4551962215115364,1.9786403727504314,0.17267339746409557,2.3130440943435038,0.934539768187529,0.6195849204614512,2.1851330813680354,2.1518089594033696,0.125,0.5,0.6666666666666667
15.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.337538079701318,1.4551962215115364,1.312384885704721,-0.4263207115199362,1.3573908065153477,1.2868219685203794,0.6195849204614512,1.1222995366941224,2.1518089594033696,0.125,0.375,0.6666666666666667
2.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6888794541139363,1.1178850385516985,-0.020126088386700547,0.7716675064481274,-0.07608912522688649,-0.650730133310298,-0.22536660397547761,-0.6490897044290656,0.08299571976935255,0.125,0.25,0.6666666666666667
13.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.153291594497779,0.7805738555918607,1.312384885704721,-0.4263207115199362,1.1184774845583088,-0.12230683281102232,0.05628390417016531,0.5908827643571661,2.1518089594033696,0.25,0.5,0.6666666666666667
15.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.278114659230517,1.4551962215115364,0.8126932704204378,1.3706616154321591,1.1184774845583088,1.9913863691860805,2.027837461189666,2.0079941572557165,2.1518089594033696,0.0,0.625,0.3333333333333333
5.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.330733340286331,-0.23135969328765282,-1.1860731907166941,1.670158669924175,0.16282419673015255,1.4629630686868047,-0.22536660397547761,0.5908827643571661,-0.9514109000476559,0.25,0.375,0.0
17.0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.54907608489522,1.4551962215115364,1.9786403727504314,-1.025314820503968,2.3130440943435038,0.934539768187529,0.05628390417016531,1.653716309031079,2.1518089594033696,0.125,0.625,0.6666666666666667
17.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.54907608489522,1.4551962215115364,1.9786403727504314,-1.025314820503968,2.3130440943435038,0.934539768187529,0.05628390417016531,2.0079941572557165,2.1518089594033696,0.0,0.375,0.6666666666666667
15.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.420534999272286,1.1178850385516985,1.312384885704721,0.17267339746409557,1.596304128472387,1.2868219685203794,1.182885936752737,1.1222995366941224,2.1518089594033696,0.25,0.5,1.0
16.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.37989735354046,1.4551962215115364,1.9786403727504314,-1.025314820503968,2.3130440943435038,0.934539768187529,0.05628390417016531,1.8308552331433978,2.1518089594033696,0.0,0.5,0.3333333333333333
14.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.303304908059076,0.7805738555918607,1.4789487574661484,0.47217045195611146,1.596304128472387,0.7583986680211038,0.901235428607094,0.4137438402448473,2.669012269311874,0.5,0.375,0.3333333333333333
15.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.337538079701318,1.1178850385516985,1.1458210139432932,0.47217045195611146,1.3573908065153477,1.63910416885323,0.6195849204614512,1.2994384608064413,2.1518089594033696,0.0,0.5,0.6666666666666667
18.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5254529391317835,1.4551962215115364,1.6455126292275761,0.17267339746409557,1.8352174504294259,2.1675274693525055,0.901235428607094,1.4765773849187602,2.1518089594033696,0.0,0.25,0.6666666666666667
13.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5.351858133476067,1.1178850385516985,0.6461293986590101,-0.4263207115199362,0.8795641626012697,1.2868219685203794,1.182885936752737,1.1222995366941224,2.1518089594033696,0.25,0.5,0.6666666666666667
13.0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.303304908059076,1.1178850385516985,1.1458210139432932,-1.025314820503968,1.596304128472387,-0.4745890331438728,-0.22536660397547761,0.059465992020209676,2.1518089594033696,0.125,0.25,1.0
7.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.962844630259907,0.7805738555918607,0.4795655268975825,-1.6243089294879998,0.6406508406442306,-0.650730133310298,-0.7886676202667634,-1.5347843249906596,-0.4342075901391517,0.125,0.25,0.3333333333333333
3.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.23410650459726,0.10595148967218501,0.6461293986590101,-0.7258177660119521,-0.07608912522688649,-1.5314356341424242,-0.22536660397547761,-1.180506476766022,-0.4342075901391517,0.0,0.0,0.0
10.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.147494476813453,0.10595148967218501,0.9792571421818654,1.3706616154321591,0.6406508406442306,-0.8268712334767233,0.33793441231580823,-0.6490897044290656,0.08299571976935255,0.125,0.375,0.0
12.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.198497031265826,0.7805738555918607,0.6461293986590101,0.17267339746409557,0.6406508406442306,-0.650730133310298,0.33793441231580823,1.1222995366941224,0.08299571976935255,0.25,0.25,0.0
8.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.897839799950911,0.10595148967218501,0.9792571421818654,0.7716675064481274,0.6406508406442306,-0.8268712334767233,0.33793441231580823,-0.6490897044290656,0.08299571976935255,0.0,0.25,0.3333333333333333
7.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.204692619390966,-0.5686708762474907,-1.1860731907166941,0.7716675064481274,-0.7928290910980036,1.1106808683539544,-0.7886676202667634,0.7680216884694849,-0.4342075901391517,0.375,0.0,0.0
10.0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.049856007249537,-0.23135969328765282,1.8120765009890039,-1.025314820503968,1.3573908065153477,-1.355294533975999,-0.7886676202667634,-1.180506476766022,4.220622199037387,0.0,0.375,0.3333333333333333
2.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4339872044851463,-0.5686708762474907,-0.020126088386700547,-0.1268236570279203,-0.5539157691409645,-1.5314356341424242,-0.7886676202667634,-1.180506476766022,2.1518089594033696,0.125,0.0,0.3333333333333333
0.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6390573296152584,-0.5686708762474907,-0.5198177036709836,0.47217045195611146,-1.2706557350120817,-1.5314356341424242,-1.0703181284124064,-1.180506476766022,1.117402339586361,0.0,0.0,0.3333333333333333
2.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.828641396489095,0.10595148967218501,-0.8529454471938389,0.7716675064481274,-0.3150024471839255,0.5822575678546786,0.33793441231580823,0.7680216884694849,-0.4342075901391517,0.0,0.25,0.0
10.0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.653960350157523,1.7925074044713742,0.14643778337472713,1.670158669924175,-0.07608912522688649,1.1106808683539544,-0.22536660397547761,0.4137438402448473,1.117402339586361,0.375,0.25,0.3333333333333333
12.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.605170185988092,-0.9059820592073284,-0.8529454471938389,0.17267339746409557,-0.7928290910980036,1.63910416885323,0.6195849204614512,0.7680216884694849,-0.4342075901391517,0.25,0.0,0.0
0.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.772588722239781,-0.5686708762474907,0.14643778337472713,-0.4263207115199362,0.16282419673015255,-0.650730133310298,-0.5070171121211206,-0.29481185620442796,-0.4342075901391517,0.0,0.125,0.0
2.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6109179126442243,1.4551962215115364,-0.6863815754324112,1.969655724416191,-1.0317424130550426,0.05383426735540291,0.33793441231580823,0.7680216884694849,1.6346056494948653,0.125,0.25,0.3333333333333333
4.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.828641396489095,-1.2432932421671663,-1.3526370624781219,-0.1268236570279203,-1.2706557350120817,-0.12230683281102232,-0.22536660397547761,0.9451606125818037,0.08299571976935255,0.125,0.375,0.3333333333333333
9.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.969813299576001,1.1178850385516985,0.8126932704204378,0.47217045195611146,-0.3150024471839255,0.7583986680211038,0.33793441231580823,0.059465992020209676,-0.6928092450934038,0.375,0.25,0.0
5.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.51085950651685,0.10595148967218501,-0.18668996014812822,1.969655724416191,-0.3150024471839255,-0.8268712334767233,-0.7886676202667634,-1.0033675526537031,2.669012269311874,0.0,0.25,0.3333333333333333
7.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.770684624465665,1.1178850385516985,0.4795655268975825,0.17267339746409557,-0.3150024471839255,-0.29844793297744754,-0.7886676202667634,-0.29481185620442796,-0.4342075901391517,0.0,0.25,0.3333333333333333
5.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.51085950651685,0.10595148967218501,-0.18668996014812822,1.969655724416191,-0.3150024471839255,-0.8268712334767233,-0.7886676202667634,-1.0033675526537031,2.669012269311874,0.0,0.25,0.3333333333333333
3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.970291913552122,1.1178850385516985,0.14643778337472713,0.7716675064481274,-0.3150024471839255,0.05383426735540291,0.33793441231580823,0.2366049161325285,-0.4342075901391517,0.0,0.25,0.0
8.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.948759890378168,1.1178850385516985,0.14643778337472713,0.17267339746409557,-0.07608912522688649,0.5822575678546786,0.33793441231580823,0.5908827643571661,-0.4342075901391517,0.0,0.125,0.0
3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.970291913552122,-1.5806044251270042,0.14643778337472713,-0.7258177660119521,-0.3150024471839255,0.05383426735540291,-0.5070171121211206,0.5908827643571661,-0.4342075901391517,0.125,0.25,0.0
0.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6094379124341003,-1.5806044251270042,-0.18668996014812822,-1.025314820503968,-1.2706557350120817,-0.12230683281102232,-0.7886676202667634,-0.29481185620442796,-0.4342075901391517,0.0,0.0,0.0
2.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.07753744390572,-1.5806044251270042,-0.6863815754324112,-1.025314820503968,-0.3150024471839255,0.05383426735540291,0.901235428607094,0.5908827643571661,-0.4342075901391517,0.0,0.375,0.0
1.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.4339872044851463,-0.5686708762474907,-0.3532538319095559,-0.1268236570279203,0.4017375186871916,0.22997536752182815,0.33793441231580823,-0.11767293209210913,-0.6928092450934038,0.125,0.0,0.0
0.25,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4339872044851463,-0.5686708762474907,-0.3532538319095559,-0.1268236570279203,0.4017375186871916,0.22997536752182815,0.33793441231580823,-0.11767293209210913,-0.6928092450934038,0.0,0.0,0.0
1.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.912023005428146,-0.23135969328765282,-0.3532538319095559,-1.6243089294879998,-0.7928290910980036,-0.12230683281102232,0.33793441231580823,-0.29481185620442796,-0.4342075901391517,0.0,0.125,0.3333333333333333
10.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.017279836814924,0.10595148967218501,-0.6863815754324112,-0.4263207115199362,0.16282419673015255,1.4629630686868047,1.182885936752737,0.9451606125818037,-0.4342075901391517,0.125,0.5,0.3333333333333333
3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.970291913552122,-1.5806044251270042,0.14643778337472713,-0.7258177660119521,-0.3150024471839255,0.05383426735540291,-0.5070171121211206,0.5908827643571661,-0.4342075901391517,0.0,0.375,0.0
11.0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.1298987149230735,0.7805738555918607,-0.5198177036709836,1.670158669924175,1.596304128472387,-0.8268712334767233,-0.5070171121211206,-0.8262286285413843,0.08299571976935255,0.75,0.125,0.3333333333333333
5.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.713572066704308,-0.5686708762474907,-1.5192009342395496,1.0711645609401432,-1.2706557350120817,1.1106808683539544,0.6195849204614512,0.7680216884694849,0.08299571976935255,0.125,0.25,0.3333333333333333
2.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9512437185814275,-0.5686708762474907,0.6461293986590101,-0.1268236570279203,0.4017375186871916,-1.5314356341424242,-0.22536660397547761,-1.180506476766022,1.117402339586361,0.0,0.125,0.0
9.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.927253685157205,0.10595148967218501,1.4789487574661484,-1.025314820503968,1.596304128472387,0.934539768187529,0.05628390417016531,-0.29481185620442796,0.08299571976935255,0.25,0.375,0.3333333333333333
3.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9512437185814275,-0.9059820592073284,0.4795655268975825,-0.1268236570279203,0.16282419673015255,0.934539768187529,-0.22536660397547761,-0.29481185620442796,0.08299571976935255,0.25,0.25,0.3333333333333333
0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,-0.5686708762474907,-2.1854564212852603,0.7716675064481274,-1.2706557350120817,-1.5314356341424242,0.33793441231580823,-0.29481185620442796,0.6001990296778568,0.125,0.0,0.0
2.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.204692619390966,-0.9059820592073284,-0.8529454471938389,0.17267339746409557,-0.7928290910980036,0.5822575678546786,-0.7886676202667634,0.7680216884694849,-0.4342075901391517,0.0,0.25,0.0
1.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.1354942159291497,0.10595148967218501,-0.020126088386700547,-1.025314820503968,-0.7928290910980036,0.4061164676882534,0.33793441231580823,1.1222995366941224,-0.4342075901391517,0.25,0.125,0.0
13.0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.293304824724492,0.10595148967218501,2.1452042445118593,-2.223303038472032,1.8352174504294259,-1.355294533975999,-0.22536660397547761,-0.8262286285413843,0.08299571976935255,0.0,0.25,0.0
21.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.60947179518496,0.10595148967218501,-0.5198177036709836,1.969655724416191,0.6406508406442306,2.3436685695189308,2.8727889856265945,1.8308552331433978,-0.4342075901391517,0.25,0.5,0.0
12.0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.912654885736052,0.7805738555918607,0.9792571421818654,-1.3248118749959839,-0.07608912522688649,1.2868219685203794,1.46453644489838,1.1222995366941224,-0.4342075901391517,0.25,0.25,0.3333333333333333
14.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5.087596335232384,0.10595148967218501,0.6461293986590101,0.47217045195611146,0.6406508406442306,0.4061164676882534,0.33793441231580823,1.2994384608064413,-0.4342075901391517,0.125,0.375,0.0
12.0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.062595033026967,0.7805738555918607,1.312384885704721,1.3706616154321591,1.3573908065153477,0.7583986680211038,0.901235428607094,1.4765773849187602,2.669012269311874,0.25,0.375,0.3333333333333333
13.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.0369526024136295,0.10595148967218501,0.6461293986590101,0.47217045195611146,0.6406508406442306,0.4061164676882534,0.33793441231580823,1.4765773849187602,-0.4342075901391517,0.25,0.25,0.0
10.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.187385805840755,0.7805738555918607,1.1458210139432932,-1.3248118749959839,1.1184774845583088,-1.355294533975999,-0.5070171121211206,-1.8890621732152972,-0.4342075901391517,0.25,0.375,0.3333333333333333
11.0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.017279836814924,0.44326267263202285,0.9792571421818654,1.3706616154321591,1.596304128472387,0.7583986680211038,0.901235428607094,1.4765773849187602,0.08299571976935255,0.25,0.25,0.3333333333333333
1.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.332204510175204,-0.9059820592073284,-0.8529454471938389,0.47217045195611146,-1.2706557350120817,0.22997536752182815,0.33793441231580823,0.7680216884694849,-0.4342075901391517,0.125,0.25,0.0
3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.07753744390572,0.7805738555918607,0.14643778337472713,-0.1268236570279203,-0.3150024471839255,-0.12230683281102232,-0.5070171121211206,-0.29481185620442796,-0.6928092450934038,0.0,0.375,0.0
10.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.187385805840755,0.7805738555918607,1.1458210139432932,-1.3248118749959839,1.1184774845583088,-1.355294533975999,-0.5070171121211206,-1.8890621732152972,-0.4342075901391517,0.25,0.25,0.0
5.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.5217885770490405,0.44326267263202285,-0.8529454471938389,1.3706616154321591,-0.07608912522688649,1.2868219685203794,0.33793441231580823,0.7680216884694849,0.08299571976935255,0.0,0.125,0.3333333333333333
10.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.51085950651685,1.1178850385516985,-0.18668996014812822,-1.025314820503968,0.16282419673015255,-0.12230683281102232,1.46453644489838,0.4137438402448473,-0.4342075901391517,0.5,0.25,0.0
0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1354942159291497,-0.5686708762474907,-0.3532538319095559,0.47217045195611146,-0.3150024471839255,-1.1791534338095737,-0.5070171121211206,-1.0033675526537031,-0.4342075901391517,0.125,0.0,0.0
3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.07753744390572,0.7805738555918607,0.14643778337472713,-0.1268236570279203,-0.3150024471839255,-0.12230683281102232,-0.5070171121211206,-0.29481185620442796,-0.4342075901391517,0.0,0.375,0.0
